analysis,HR,p,RMST_path,RMST_ben,delta,n,E_value,E_value_CI
Germline proxy vs Benign,0.5955728021642541,1.5648998569318718e-05,,,,,,
Somatic proxy vs Benign,1.0217847568975587,0.8266468142910736,,,,,,
RMST tau=60,,,46.1636696010531,43.06524948282038,3.098420118232724,,,
RMST tau=81,,,58.11273064485448,53.16552352516585,4.947207119688628,,,
RMST tau=120,,,74.87493100927162,69.03169471102402,5.843236298247604,,,
Purity >= 0.2,0.8059465477157111,0.010583786263491799,,,,1827.0,,
Purity >= 0.3,0.7738390151118388,0.003457024152029093,,,,1714.0,,
Purity >= 0.4,0.7033772572418904,0.00019821593516220138,,,,1529.0,,
Purity >= 0.5,0.698962965099001,0.0004080035770086314,,,,1305.0,,
E-value (unstratified),0.8033715646402517,,,,,,1.7967128951819418,
E-value (stratified),0.8483878467403972,,,,,,1.637663786061209,1.0
