sample_barcode,cg13601799,cg08047457,cg19531713,patient_id,brca1_promoter_mean
TCGA-OR-A5J1-01,0.02332,0.7063,0.07954,TCGA-OR-A5J1,0.26972
TCGA-OR-A5J2-01,0.02639,0.1368,0.05354,TCGA-OR-A5J2,0.07224333333333334
TCGA-OR-A5J3-01,0.02375,0.7022,0.06983,TCGA-OR-A5J3,0.26526000000000005
TCGA-OR-A5J4-01,0.01464,0.748,0.08789,TCGA-OR-A5J4,0.28351
TCGA-OR-A5J5-01,0.01866,0.7884,0.1541,TCGA-OR-A5J5,0.32038666666666665
TCGA-OR-A5J6-01,0.02473,0.02574,0.09669,TCGA-OR-A5J6,0.04905333333333334
TCGA-OR-A5J7-01,0.02459,0.6884,0.09302,TCGA-OR-A5J7,0.26867
TCGA-OR-A5J8-01,0.6593,0.03412,0.07611,TCGA-OR-A5J8,0.25651
TCGA-OR-A5J9-01,0.03936,0.6816,0.07305,TCGA-OR-A5J9,0.26466999999999996
TCGA-OR-A5JA-01,0.02023,0.7351,0.05972,TCGA-OR-A5JA,0.27168333333333333
TCGA-OR-A5JB-01,0.02202,0.05746,0.08499,TCGA-OR-A5JB,0.054823333333333335
TCGA-OR-A5JC-01,0.02735,0.5867,0.07572,TCGA-OR-A5JC,0.22992333333333334
TCGA-OR-A5JD-01,0.02646,0.5036,0.07389,TCGA-OR-A5JD,0.2013166666666667
TCGA-OR-A5JE-01,0.02007,0.6612,0.07027,TCGA-OR-A5JE,0.25051333333333337
TCGA-OR-A5JF-01,0.1581,0.6757,0.1165,TCGA-OR-A5JF,0.3167666666666667
TCGA-OR-A5JG-01,0.01953,0.7206,0.06534,TCGA-OR-A5JG,0.26849
TCGA-OR-A5JI-01,0.02546,0.6739,0.07827,TCGA-OR-A5JI,0.25921
TCGA-OR-A5JJ-01,0.0254,0.7091,0.09418,TCGA-OR-A5JJ,0.2762266666666667
TCGA-OR-A5JK-01,0.0249,0.5724,0.07231,TCGA-OR-A5JK,0.22320333333333334
TCGA-OR-A5JL-01,0.0282,0.6039,0.08417,TCGA-OR-A5JL,0.23875666666666664
TCGA-OR-A5JM-01,0.04117,0.7988,0.07285,TCGA-OR-A5JM,0.30427333333333334
TCGA-OR-A5JO-01,0.0248,0.4986,0.08231,TCGA-OR-A5JO,0.20190333333333332
